"Last Merchant Cleared Date","Advance Status",AdvanceID,"Merchant Name",Frequency,"Repayment Type","Draft Amount","Return Code","Return Date","Syn Gross Amount","Syn Net Amount","Syn Cleared Date","Syndicated Amt","Syndicate Purchase Price","Syndicate Net RTR Remain"
2024-02-13,In-Repayment,6498489,"Eclub Deals Inc.",Weekly,ACH,"$4,633.33",,,$278.00,$269.66,2024-02-16,"$6,000.00","$6,660.00","$6,741.51"
2024-02-14,In-Repayment,6416036,"Livecare, INC.",Daily,ACH,"$2,414.97",,,$77.28,$74.96,2024-02-16,"$8,000.00","$8,807.20","$8,320.62"
2024-02-14,In-Repayment,6297568,"Champion Contractors, LLC",Daily,ACH,"$2,579.37",,,$72.23,$70.06,2024-02-16,"$7,000.00","$7,210.00","$4,553.61"
2024-02-14,In-Repayment,6402126,"GDCatering LLC",Daily,ACH,$408.33,,,$23.33,$22.63,2024-02-16,"$2,000.00","$2,000.00","$2,150.18"
2024-02-14,In-Repayment,6326805,"Wires Only INC",Weekly,ACH,"$1,500.00",,,$19.09,$18.52,2024-02-16,"$7,000.00","$7,490.00","$7,142.62"
2024-02-13,In-Repayment,6299827,"IAG Construction Inc",Daily,ACH,"$1,521.43",,,$135.24,$131.18,2024-02-16,"$12,000.00","$13,440.00","$8,526.76"
2024-02-13,In-Repayment,6354539,"Controlled Environments Construction, Inc.",Weekly,ACH,"$3,550.00",,,$355.00,$344.35,2024-02-16,"$7,000.00","$7,840.00","$6,198.30"
2024-02-14,In-Repayment,6495891,"Acosta Angeli Construction INC.",Daily,ACH,"$3,916.89",,,$112.89,$109.50,2024-02-16,"$10,000.00","$10,900.00","$13,358.08"
2024-02-13,In-Repayment,6419146,"Galaxy Venture Capital, LLC",Daily,ACH,$241.67,,,$16.01,$15.53,2024-02-16,"$1,325.00","$1,484.00","$1,335.58"
2024-02-14,In-Repayment,6213677,"Brick & Cork, Inc.",Daily,ACH,$191.59,,,$22.55,$21.87,2024-02-16,"$2,000.00","$2,240.00","$1,005.70"
2024-02-13,In-Repayment,6465735,"Steve Hightower Family Farms, LLC",Weekly,ACH,"$6,000.00",,,$192.00,$186.24,2024-02-16,"$4,000.00","$4,480.00","$4,469.76"
2024-02-14,In-Repayment,6566115,"G2D Development Corp",Daily,ACH,"$8,384.35",,,$128.24,$124.39,2024-02-16,"$13,000.00","$13,913.13","$17,289.43"
2024-02-13,In-Repayment,6502050,"American Fundraising Group LLC",Weekly,ACH,"$6,234.38",,,$332.50,$322.52,2024-02-16,"$8,000.00","$8,374.13","$8,708.18"
2024-02-14,In-Repayment,6571941,"ArtLog, Inc.",Daily,ACH,"$1,665.00",,,$108.00,$104.76,2024-02-16,"$12,000.00","$13,440.00","$15,609.24"
2024-02-13,In-Repayment,6380312,"Peachy Athletic, LLC",Weekly,ACH,"$1,896.21",,,$194.48,$188.65,2024-02-16,"$4,000.00","$4,360.00","$3,207.02"
2024-02-13,In-Repayment,6411387,"Synergy 768 Inc",Weekly,ACH,"$12,000.00",,,$440.00,$426.80,2024-02-16,"$11,000.00","$12,100.00","$11,523.60"
2024-02-13,In-Repayment,6484948,"Imperium Enterprises, Inc.",Weekly,ACH,"$2,062.50",,,$123.75,$120.04,2024-02-16,"$3,000.00","$3,180.00","$3,000.94"
2024-02-13,In-Repayment,6012832,"Amany Convenience LLC",Weekly,ACH,$500.00,,,$28.58,$27.72,2024-02-16,"$4,000.00","$4,480.00","$2,006.70"
2024-02-13,In-Repayment,6299827,"IAG Construction Inc",Daily,ACH,"$1,521.43",R01,2024-02-14,$0.00,$0.00,2024-02-16,"$13,325.00","$14,924.00","$10,390.37"
2024-02-12,In-Repayment,6267975,"D.A.O. Accounting, Consulting, and Taxation, Inc",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-15,"$5,000.00","$5,600.00","$3,985.09"
2024-02-14,In-Repayment,6105737,"Blackhat Chimney & Fireplace Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-20,"$7,000.00","$7,350.00","$2,770.32"
2024-02-12,In-Repayment,6005456,"United Security Specialists, Inc.",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-15,"$7,000.00","$7,840.00","$5,141.11"
2024-02-09,In-Repayment,6496306,"Apex Industrial Facility Services LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$9,000.00","$9,720.00","$10,694.25"
2024-01-30,In-Repayment,6401344,"N & S International Company Corp",Weekly,ACH,$0.00,R01,2024-02-09,$0.00,$0.00,2024-02-02,"$2,500.00","$2,700.00","$2,717.11"
,In-Repayment,6622295,"Chara Software LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,,"$15,000.00","$16,800.00","$20,370.00"
2024-02-14,In-Repayment,6453737,"McQueen Companies LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-20,"$12,000.00","$13,238.64","$12,833.10"
2024-02-14,In-Repayment,6271935,"Concept 32, INC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-20,"$5,000.00","$5,594.00","$3,838.97"
2024-02-09,In-Repayment,6525893,"Strategic Print Solutions, INC.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$10,000.00","$10,700.00","$12,658.50"
2024-01-23,In-Repayment,6397021,"Strange Bird LLC",Weekly,ACH,$0.00,R29,2024-02-13,$0.00,$0.00,2024-01-26,"$10,000.00","$11,200.00","$10,988.29"
2024-02-12,In-Repayment,6291282,"S1 Security Group Inc",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-15,"$7,000.00","$7,630.00","$4,418.73"
2024-02-12,In-Repayment,6031182,"Axispoint INC And Subsidiaries",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-15,"$10,000.00","$10,984.00","$8,242.58"
2024-02-09,In-Repayment,6467111,"Carolina Grading Service, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$7,000.00","$7,280.00","$6,844.32"
2024-02-09,In-Repayment,6345571,"Kaival Brands Innovations Group, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$12,000.00","$13,200.00","$10,775.32"
2024-02-09,In-Repayment,6600197,"Carolina Grading Service, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$8,000.00","$8,320.00","$9,578.06"
2024-02-08,In-Repayment,6418779,"CCBBQ Restaurant LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-13,"$7,000.00","$7,560.00","$6,637.23"
2024-02-12,In-Repayment,5745916,"Rallis, LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-15,"$6,000.00","$6,360.00","$5,033.65"
2024-02-14,In-Repayment,6224404,"American Dental of LaGrange, LLC",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-20,"$4,000.00","$4,480.00","$2,111.41"
2024-01-09,In-Repayment,6070330,"Maryland Medical Day Services, LLC.",Weekly,ACH,$0.00,R16,2024-02-06,$0.00,$0.00,2024-01-12,"$6,000.00","$6,513.96","$4,852.43"
2024-02-09,In-Repayment,6497864,"Gorilla Gadgets, LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$6,000.00","$6,660.00","$6,741.50"
2024-02-12,In-Repayment,6401612,"Tresna Group Corporation",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-15,"$3,500.00","$3,920.00","$2,966.71"
,In-Repayment,6615841,"Lettus LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,,"$5,000.00","$5,550.00","$6,984.00"
2024-02-01,"Paid In Full",6162372,"ArtLog, Inc.",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-07,"$10,000.00","$11,200.00",$0.00
2024-01-02,"Paid In Full",6142711,"McQueen Companies LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-01-05,"$9,000.00","$9,990.00",$0.00
2024-02-07,"Paid In Full",6042550,"Water Wheel Rentals, LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-12,"$5,000.00","$5,600.00",$0.00
2023-12-28,"Paid In Full",6121887,"Carolina Grading Service, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-01-03,"$7,000.00","$7,280.00",$0.00
2024-02-09,"Paid In Full",6215781,"Ravi GI Associates PA LLP",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$7,000.00","$7,700.00",$0.00
2024-01-31,"Paid In Full",6236461,"Certified Mailing Solutions, Inc.",Daily,ACH,$0.00,R01,2024-02-05,$0.00,$0.00,2024-02-06,"$8,000.00","$8,800.00",$0.00
