"Last Merchant Cleared Date","Advance Status",AdvanceID,"Merchant Name",Frequency,"Repayment Type","Draft Amount","Return Code","Return Date","Syn Gross Amount","Syn Net Amount","Syn Cleared Date","Syndicated Amt","Syndicate Purchase Price","Syndicate Net RTR Remain"
2024-02-12,In-Repayment,6401612,"Tresna Group Corporation",Weekly,ACH,"$1,911.54",,,$191.16,$185.42,2024-02-15,"$3,500.00","$3,920.00","$2,966.71"
2024-02-12,In-Repayment,6005456,"United Security Specialists, Inc.",Daily,ACH,"$12,000.00",,,$210.00,$203.70,2024-02-15,"$7,000.00","$7,840.00","$5,141.11"
2024-02-12,In-Repayment,5745916,"Rallis, LLC",Weekly,ACH,"$3,796.88",,,$253.12,$245.53,2024-02-15,"$6,000.00","$6,360.00","$5,033.65"
2024-02-13,In-Repayment,6326805,"Wires Only INC",Weekly,ACH,"$1,500.00",,,$19.09,$18.52,2024-02-15,"$7,000.00","$7,490.00","$7,161.14"
2024-02-13,In-Repayment,6566115,"G2D Development Corp",Daily,ACH,"$8,384.35",,,$128.23,$124.38,2024-02-15,"$13,000.00","$13,913.13","$17,413.81"
2024-02-13,In-Repayment,6419146,"Galaxy Venture Capital, LLC",Daily,ACH,$241.67,,,$16.01,$15.53,2024-02-15,"$1,325.00","$1,484.00","$1,335.58"
2024-02-13,In-Repayment,6297568,"Champion Contractors, LLC",Daily,ACH,"$2,579.37",,,$72.22,$70.06,2024-02-15,"$7,000.00","$7,210.00","$4,623.66"
2024-02-12,In-Repayment,6224404,"American Dental of LaGrange, LLC",Daily,ACH,$518.26,,,$51.82,$50.27,2024-02-15,"$4,000.00","$4,480.00","$2,161.68"
2024-02-12,In-Repayment,6267975,"D.A.O. Accounting, Consulting, and Taxation, Inc",Weekly,ACH,"$2,900.00",,,$241.66,$234.41,2024-02-15,"$5,000.00","$5,600.00","$3,985.09"
2024-02-12,In-Repayment,6291282,"S1 Security Group Inc",Weekly,ACH,"$9,219.23",,,$379.62,$368.23,2024-02-15,"$7,000.00","$7,630.00","$4,418.73"
2024-02-13,In-Repayment,6402126,"GDCatering LLC",Daily,ACH,$408.33,,,$23.34,$22.64,2024-02-15,"$2,000.00","$2,000.00","$2,172.81"
2024-02-13,In-Repayment,6416036,"Livecare, INC.",Daily,ACH,"$2,414.97",,,$77.27,$74.96,2024-02-15,"$8,000.00","$8,807.20","$8,395.58"
2024-02-13,In-Repayment,6571941,"ArtLog, Inc.",Daily,ACH,"$1,665.00",,,$108.00,$104.76,2024-02-15,"$12,000.00","$13,440.00","$15,714.00"
2024-02-13,In-Repayment,6299827,"IAG Construction Inc",Daily,ACH,"$1,521.43",,,$135.24,$131.18,2024-02-15,"$12,000.00","$13,440.00","$8,526.76"
2024-02-12,In-Repayment,6031182,"Axispoint INC And Subsidiaries",Weekly,ACH,"$15,000.00",,,$375.00,$363.75,2024-02-15,"$10,000.00","$10,984.00","$8,242.58"
2024-02-13,In-Repayment,6495891,"Acosta Angeli Construction INC.",Daily,ACH,$0.00,,,$0.00,$0.00,2024-02-16,"$10,000.00","$10,900.00","$13,467.57"
2024-02-09,In-Repayment,6467111,"Carolina Grading Service, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$7,000.00","$7,280.00","$6,844.32"
2024-02-09,In-Repayment,6345571,"Kaival Brands Innovations Group, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$12,000.00","$13,200.00","$10,775.32"
2024-02-13,In-Repayment,6498489,"Eclub Deals Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-16,"$6,000.00","$6,660.00","$6,741.51"
2024-02-08,In-Repayment,6418779,"CCBBQ Restaurant LLC",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-13,"$7,000.00","$7,560.00","$6,637.23"
2024-02-13,In-Repayment,6354539,"Controlled Environments Construction, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-16,"$7,000.00","$7,840.00","$6,198.30"
2024-02-09,In-Repayment,6525893,"Strategic Print Solutions, INC.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-14,"$10,000.00","$10,700.00","$12,658.50"
2024-02-13,In-Repayment,6484948,"Imperium Enterprises, Inc.",Weekly,ACH,$0.00,,,$0.00,$0.00,2024-02-16,"$3,000.00","$3,180.00","$3,000.94"
